Project,Resource,Segment Start,Segment End,Hard Allocation (PD),Soft Allocation (PD)
XPL Translations,5004002,02.Mar.2024,01.Apr.2024,0.0,0
XPL Translations,5004002,02.Apr.2024,01.May.2024,0.0,0
XPL Translations,5004002,02.May.2024,01.Jun.2024,0.0,0
XPL Translations,5004002,02.Jun.2024,01.Jul.2024,0.0,0
XPL Translations,5004002,02.Jul.2024,01.Aug.2024,0.0,0
XPL Translations,5004002,02.Aug.2024,01.Sep.2024,0.0,0
XPL Translations,5004002,02.Sep.2024,01.Oct.2024,0.0,0
XPL Translations,5004002,02.Oct.2024,01.Nov.2024,0.0,0
XPL Translations,5004002,02.Nov.2024,01.Dec.2024,0.0,0
XPL Translations,5004002,02.Dec.2024,01.Jan.2025,0.0,0
XPL Translations,5004002,02.Jan.2025,01.Feb.2025,0.0,0
XPL Translations,5004002,02.Feb.2025,01.Mar.2025,0.0,0
XPL Translations,5004002,02.Mar.2025,01.Apr.2025,0.0,0
XPL Translations,5004002,02.Apr.2025,01.May.2025,0.0,0
XPL Translations,5004002,02.May.2025,01.Jun.2025,0.0,0
XPL Translations,5004002,02.Jun.2025,01.Jul.2025,0.0,0
XPL Translations,5004002,02.Jul.2025,01.Aug.2025,0.0,0
XPL Translations,5004002,02.Aug.2025,30.Aug.2025,0.0,0
