Project,Resource,Segment Start,Segment End,Hard Allocation (PD),Soft Allocation (PD)
PR2003,aliciaGaurand,13.Dec.2024,13.Jan.2025,0.00,0.13690476190476192
PR2003,aliciaGaurand,13.Jan.2025,13.Feb.2025,0.00,0.13690476190476192
PR2003,aliciaGaurand,13.Feb.2025,13.Mar.2025,0.00,0.13690476190476192
PR2003,aliciaGaurand,13.Mar.2025,13.Apr.2025,0.00,0.13690476190476192
PR2003,aliciaGaurand,13.Apr.2025,13.May.2025,0.00,0.13690476190476192
PR2003,aliciaGaurand,13.May.2025,13.Jun.2025,0.00,0.13690476190476192
PR2003,aliciaGaurand,13.Jun.2025,13.Jul.2025,0.00,0.13690476190476192
PR2003,aliciaGaurand,13.Jul.2025,13.Aug.2025,0.00,0.13690476190476192
PR2003,aliciaGaurand,13.Aug.2025,13.Sep.2025,0.00,0.13690476190476192
PR2003,aliciaGaurand,13.Sep.2025,13.Oct.2025,0.00,0.13690476190476192
PR2003,aliciaGaurand,13.Oct.2025,13.Nov.2025,0.00,0.13690476190476192
PR2003,aliciaGaurand,13.Nov.2025,13.Dec.2025,0.00,0.13690476190476192
PR2003,joyceBauer,13.Dec.2024,13.Jan.2025,0.00,0.0
PR2003,joyceBauer,13.Jan.2025,13.Feb.2025,0.00,0.0
PR2003,joyceBauer,13.Feb.2025,13.Mar.2025,0.00,0.0
PR2003,joyceBauer,13.Mar.2025,13.Apr.2025,0.00,0.0
PR2003,joyceBauer,13.Apr.2025,13.May.2025,0.00,0.0
PR2003,joyceBauer,13.May.2025,13.Jun.2025,0.00,0.0
PR2003,joyceBauer,13.Jun.2025,13.Jul.2025,0.00,0.0
PR2003,joyceBauer,13.Jul.2025,13.Aug.2025,0.00,0.0
PR2003,joyceBauer,13.Aug.2025,13.Sep.2025,0.00,0.0
PR2003,joyceBauer,13.Sep.2025,13.Oct.2025,0.00,0.0
PR2003,joyceBauer,13.Oct.2025,13.Nov.2025,0.00,0.0
PR2003,joyceBauer,13.Nov.2025,13.Dec.2025,0.00,0.0
PR2003,cherylAmos,13.Dec.2024,13.Jan.2025,0.00,0.8492063492063492
PR2003,cherylAmos,13.Jan.2025,13.Feb.2025,0.00,0.8492063492063492
PR2003,cherylAmos,13.Feb.2025,13.Mar.2025,0.00,0.8492063492063492
PR2003,cherylAmos,13.Mar.2025,13.Apr.2025,0.00,0.8492063492063492
PR2003,cherylAmos,13.Apr.2025,13.May.2025,0.00,0.8492063492063492
PR2003,cherylAmos,13.May.2025,13.Jun.2025,0.00,0.8492063492063492
PR2003,cherylAmos,13.Jun.2025,13.Jul.2025,0.00,0.8492063492063492
PR2003,cherylAmos,13.Jul.2025,13.Aug.2025,0.00,0.8492063492063492
PR2003,cherylAmos,13.Aug.2025,13.Sep.2025,0.00,0.8492063492063492
PR2003,cherylAmos,13.Sep.2025,13.Oct.2025,0.00,0.8492063492063492
PR2003,cherylAmos,13.Oct.2025,13.Nov.2025,0.00,0.8492063492063492
PR2003,cherylAmos,13.Nov.2025,13.Dec.2025,0.00,0.8492063492063492
PR2003,ritaCohen,13.Dec.2024,13.Jan.2025,0.00,0.0
PR2003,ritaCohen,13.Jan.2025,13.Feb.2025,0.00,0.0
PR2003,ritaCohen,13.Feb.2025,13.Mar.2025,0.00,0.0
PR2003,ritaCohen,13.Mar.2025,13.Apr.2025,0.00,0.0
PR2003,ritaCohen,13.Apr.2025,13.May.2025,0.00,0.0
PR2003,ritaCohen,13.May.2025,13.Jun.2025,0.00,0.0
PR2003,ritaCohen,13.Jun.2025,13.Jul.2025,0.00,0.0
PR2003,ritaCohen,13.Jul.2025,13.Aug.2025,0.00,0.0
PR2003,ritaCohen,13.Aug.2025,13.Sep.2025,0.00,0.0
PR2003,ritaCohen,13.Sep.2025,13.Oct.2025,0.00,0.0
PR2003,ritaCohen,13.Oct.2025,13.Nov.2025,0.00,0.0
PR2003,ritaCohen,13.Nov.2025,13.Dec.2025,0.00,0.0
PR2003,RES_35,13.Dec.2024,13.Jan.2025,0.00,0.0
PR2003,RES_35,13.Jan.2025,13.Feb.2025,0.00,0.0
PR2003,RES_35,13.Feb.2025,13.Mar.2025,0.00,0.0
PR2003,RES_35,13.Mar.2025,13.Apr.2025,0.00,0.0
PR2003,RES_35,13.Apr.2025,13.May.2025,0.00,0.0
PR2003,RES_35,13.May.2025,13.Jun.2025,0.00,0.0
PR2003,RES_35,13.Jun.2025,13.Jul.2025,0.00,0.0
PR2003,RES_35,13.Jul.2025,13.Aug.2025,0.00,0.0
PR2003,RES_35,13.Aug.2025,13.Sep.2025,0.00,0.0
PR2003,RES_35,13.Sep.2025,13.Oct.2025,0.00,0.0
PR2003,RES_35,13.Oct.2025,13.Nov.2025,0.00,0.0
PR2003,RES_35,13.Nov.2025,13.Dec.2025,0.00,0.0
