Project,Resource,Segment Start,Segment End,Hard Allocation (PD),Soft Allocation (PD)
PR1016,csk.projectManager,01.Jan.2025,01.Feb.2025,0.00,1.0
PR1016,csk.projectManager,01.Feb.2025,01.Mar.2025,0.00,0.0
PR1016,csk.projectManager,01.Mar.2025,01.Apr.2025,0.00,1.0
PR1016,csk.projectManager,01.Apr.2025,01.May.2025,0.00,1.0
PR1016,bruceTurner,01.Jan.2025,01.Feb.2025,0.00,0.0
PR1016,bruceTurner,01.Feb.2025,01.Mar.2025,0.00,1.0
PR1016,bruceTurner,01.Mar.2025,01.Apr.2025,0.00,1.0
PR1016,bruceTurner,01.Apr.2025,01.May.2025,0.00,0.0
PR1016,jasonSauer,01.Jan.2025,01.Feb.2025,0.00,1.0
PR1016,jasonSauer,01.Feb.2025,01.Mar.2025,0.00,2.0
PR1016,jasonSauer,01.Mar.2025,01.Apr.2025,0.00,1.0
PR1016,jasonSauer,01.Apr.2025,01.May.2025,0.00,0.0
PR1016,erinGillian,01.Jan.2025,01.Feb.2025,0.00,1.0
PR1016,erinGillian,01.Feb.2025,01.Mar.2025,0.00,3.5
PR1016,erinGillian,01.Mar.2025,01.Apr.2025,0.00,1.5
PR1016,erinGillian,01.Apr.2025,01.May.2025,0.00,0.0
PR1016,valerieChilders,01.Jan.2025,01.Feb.2025,0.00,1.0
PR1016,valerieChilders,01.Feb.2025,01.Mar.2025,0.00,1.0
PR1016,valerieChilders,01.Mar.2025,01.Apr.2025,0.00,0.0
PR1016,valerieChilders,01.Apr.2025,01.May.2025,0.00,0.0
PR1016,jasonBerry,01.Jan.2025,01.Feb.2025,0.00,1.0
PR1016,jasonBerry,01.Feb.2025,01.Mar.2025,0.00,3.5
PR1016,jasonBerry,01.Mar.2025,01.Apr.2025,0.00,1.5
PR1016,jasonBerry,01.Apr.2025,01.May.2025,0.00,0.0
PR1016,maryNewburg,01.Jan.2025,01.Feb.2025,0.00,1.0
PR1016,maryNewburg,01.Feb.2025,01.Mar.2025,0.00,1.0
PR1016,maryNewburg,01.Mar.2025,01.Apr.2025,0.00,0.0
PR1016,maryNewburg,01.Apr.2025,01.May.2025,0.00,0.0
PR1016,markGoldman,01.Jan.2025,01.Feb.2025,0.00,1.0
PR1016,markGoldman,01.Feb.2025,01.Mar.2025,0.00,1.0
PR1016,markGoldman,01.Mar.2025,01.Apr.2025,0.00,1.0
PR1016,markGoldman,01.Apr.2025,01.May.2025,0.00,1.0
